//联锁表-湖州高速场(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
0    |LCJL|XSLA,S1LA    |XS     |25-27,13-15,(17)                     |13-27DG,17DG,17CHG,1G                     |S1;
1    |LCJL|XSLA,SIILA    |XS     |25-27,13-15,17                     |13-27DG,17DG,IIG                     |SII;
2    |LCJL|XSLA,S3LA    |XS     |25-27,(13-15)                     |13-27DG,15DG,17DG,9DG,3G                     |S3;
3    |LCJL|XLA,S3LA    |X     |1-3,(9),13-15                     |1DG,5DG,9DG,15DG,3G                     |S3;
4    |LCJL|XLA,S4LA    |X     |1-3,9                     |1DG,5DG,9DG,15DG,4G                     |S4;
5    |LCJL|XLA,SVLA    |X     |1-3                     |1DG,5DG,9DG,VG                     |SV;
6    |LCJL|XLA,SVILA    |X     |(1-3),7                     |1DG,3DG,7DG,11DG,VIG                     |SVI;
7    |LCJL|XLA,S7LA    |X     |(1-3),(7),11                     |1DG,3DG,7DG,11DG,21DG,7G                     |S7;
8    |LCJL|XLA,S8LA    |X     |(1-3),(7),(11),19-21                     |1DG,3DG,7DG,11DG,21DG,8G                     |S8;
9    |LCJL|XFLA,SVILA    |XF     |1-3,7                     |3DG,7DG,11DG,VIG                     |SVI;
10    |LCJL|XFLA,S7LA    |XF     |1-3,(7),11                     |3DG,7DG,11DG,21DG,7G                     |S7;
11    |LCJL|XFLA,S8LA    |XF     |1-3,(7),(11),19-21                     |3DG,7DG,11DG,21DG,8G                     |S8;
12    |LCJL|XSFLA,S8LA    |XSF     |(19-21)                     |19-23DG,21DG,11DG,8G                     |S8;
13    |LCJL|XSFLA,SIXLA    |XSF     |19-21,23                     |19-23DG,IXG                     |SIX;
14    |LCJL|XSFLA,S10LA    |XSF     |19-21,(23)                     |19-23DG,23CHG,10G                     |S10;
15    |LCJL|S1LA,XSLA    |S1     |(17),13-15,25-27                     |17CHG,17DG,13-27DG,XS7JG                     |XS;
16    |LCJL|SIILA,XSLA    |SII     |17,13-15,25-27                     |17DG,13-27DG,XS7JG                     |XS;
17    |LCJL|S3LA,XSLA    |S3     |(13-15),25-27                     |15DG,13-27DG,9DG,17DG,XS7JG                     |XS;
18    |LCJL|S3LA,XLA    |S3     |13-15,(9),(5),1-3                     |15DG,9DG,5DG,1DG,X8JG                     |X;
19    |LCJL|S4LA,XLA    |S4     |9,(5),1-3                     |9DG,5DG,1DG,15DG,X8JG                     |X;
20    |LCJL|SVLA,XLA    |SV     |5,1-3                     |5DG,1DG,9DG,X8JG                     |X;
21    |LCJL|SVILA,XLA    |SVI     |7,(1-3)                     |7DG,3DG,1DG,11DG,X8JG                     |X;
22    |LCJL|SVILA,XFLA    |SVI     |7,1-3                     |7DG,3DG,11DG,S1LQ                     |XF;
23    |LCJL|S7LA,XLA    |S7     |11,(7),(1-3)                     |11DG,7DG,3DG,1DG,21DG,X8JG                     |X;
24    |LCJL|S7LA,XFLA    |S7     |11,(7),1-3                     |11DG,7DG,3DG,21DG,S1LQ                     |XF;
25    |LCJL|S8LA,XLA    |S8     |19-21,(11),(7),(1-3)                     |21DG,11DG,7DG,3DG,1DG,X8JG                     |X;
26    |LCJL|S8LA,XFLA    |S8     |19-21,(11),(7),1-3                     |21DG,11DG,7DG,3DG,S1LQ                     |XF;
27    |LCJL|S8LA,XSFLA    |S8     |(19-21)                     |21DG,19-23DG,11DG,XSF1LQ                     |XSF;
28    |LCJL|SIXLA,XSFLA    |SIX     |23,19-21                     |19-23DG,XSF1LQ                     |XSF;
29    |LCJL|S10LA,XSFLA    |S10     |(23),19-21                     |23CHG,19-23DG,XSF1LQ                     |XSF;
30    |LCJL|X1LA,SSFLA    |X1     |52-54,48-50                     |54DG,48/54G,48DG,SSF1LQ                     |SSF;
31    |LCJL|X1LA,SHFLA    |X1     |(52-54),36-38,48-50,2A-2                     |54DG,36-52DG,36/50G,50DG,2ADG,SHF1LQ                     |B2A,SHF;
32    |LCJL|X1LA,SFLA    |X1     |(52-54),36-38,48-50,(2A-2)                     |54DG,36-52DG,36/50G,50DG,2ADG,2DG,X1LQ                     |B2A,SF;
33    |LCJL|X1LA,B2A,SSFLA    |X1     |(52-54),36-38,(48-50)                     |54DG,36-52DG,36/50G,50DG,48DG,2ADG,SSF1LQ                     |B2A,SSF;
34    |LCJL|XIILA,SSFLA    |XII     |52-54,36-38,(48-50)                     |36-52DG,36/50G,50DG,48DG,2ADG,SSF1LQ                     |B2A,SSF;
35    |LCJL|XIILA,SHFLA    |XII     |52-54,36-38,48-50,2A-2                     |36-52DG,36/50G,50DG,2ADG,SHF1LQ                     |B2A,SHF;
36    |LCJL|XIILA,SFLA    |XII     |52-54,36-38,48-50,(2A-2)                     |36-52DG,36/50G,50DG,2ADG,2DG,X1LQ                     |B2A,SF;
37    |LCJL|X3LA,SSFLA    |X3     |(36-38),(48-50)                     |38DG,36-52DG,36/50G,50DG,48DG,16-18DG,2ADG,SSF1LQ                     |B2A,SSF;
38    |LCJL|X3LA,SHFLA    |X3     |(36-38),48-50,2A-2                     |38DG,36-52DG,36/50G,50DG,2ADG,16-18DG,SHF1LQ                     |B2A,SHF;
39    |LCJL|X3LA,SFLA    |X3     |36-38,(18),(14-16),10-12,6-8,2-2A                     |38DG,16-18DG,14DG,10DG,8DG,2DG,X1LQ                     |SF;
40    |LCJL|X3LA,SLA    |X3     |36-38,(18),(14-16),10-12,(6-8),4-4A                     |38DG,16-18DG,14DG,10DG,8DG,6DG,4DG,S7JG                     |S;
41    |LCJL|X3LA,B2A,SFLA    |X3     |(36-38),48-50,(2A-2)                     |38DG,36-52DG,16-18DG,36/50G,50DG,2ADG,2DG,X1LQ                     |B2A,SF;
42    |LCJL|X4LA,SFLA    |X4     |18,(14-16),10-12,6-8,2-2A                     |16-18DG,14DG,10DG,8DG,2DG,38DG,X1LQ                     |SF;
43    |LCJL|X4LA,SLA    |X4     |18,(14-16),10-12,(6-8),4-4A                     |16-18DG,14DG,10DG,8DG,6DG,4DG,38DG,S7JG                     |S;
44    |LCJL|XVLA,SFLA    |XV     |14-16,10-12,6-8,2-2A                     |14DG,10DG,8DG,2DG,X1LQ                     |SF;
45    |LCJL|XVLA,SLA    |XV     |14-16,10-12,(6-8),4-4A                     |14DG,10DG,8DG,6DG,4DG,S7JG                     |S;
46    |LCJL|XVILA,SFLA    |XVI     |22,(10-12),6-8,2-2A                     |22DG,12DG,10DG,8DG,2DG,24DG,X1LQ                     |SF;
47    |LCJL|XVILA,SLA    |XVI     |22,10-12,6-8,4-4A                     |22DG,12DG,6DG,4DG,24DG,S7JG                     |S;
48    |LCJL|X7LA,SFLA    |X7     |24,(22),(10-12),6-8,2-2A                     |24DG,22DG,12DG,10DG,8DG,2DG,26DG,X1LQ                     |SF;
49    |LCJL|X7LA,SLA    |X7     |24,(22),10-12,6-8,4-4A                     |24DG,22DG,12DG,6DG,4DG,26DG,S7JG                     |S;
50    |LCJL|X8LA,SFLA    |X8     |26-28,(24),(22),(10-12),6-8,2-2A                     |26DG,24DG,22DG,12DG,10DG,8DG,2DG,X1LQ                     |SF;
