//联锁表-标准站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
0    |LCJL|SLA,XIVLA    |S     |2-4,10-12,6-8,(14-16)                     |IIBG,4DG,6-12DG,14DG,16DG,IVG                     |D2,D8,D10,D20,XIV;
1    |LCJL|SLA,XIILA    |S     |2-4,10-12,6-8,14-16                     |IIBG,4DG,6-12DG,14DG,IIG                     |D2,D8,D10,D20,XII;
2    |LCJL|SLA,XILA    |S     |2-4,10-12,(6-8),10-12,18                     |IIBG,4DG,6-12DG,8-10DG,18DG,20DG,IG                     |D2,D8,D10,D14,D18,XI;
3    |LCJL|SLA,X3LA    |S     |2-4,10-12,(6-8),10-12,(18),20-22                     |IIBG,4DG,6-12DG,8-10DG,18DG,20DG,20-24WG                     |D2,D8,D10,D14,D18,X3;
4    |LCJL|SFLA,XIVLA    |SF     |6-8,(10-12),6-8,(14-16)                     |IBG,8-10DG,6-12DG,14DG,16DG,IVG                     |D12,D20,XIV;
5    |LCJL|SFLA,XIILA    |SF     |6-8,(10-12),6-8,14-16                     |IBG,8-10DG,6-12DG,14DG,IIG                     |D12,D20,XII;
6    |LCJL|SFLA,XILA    |SF     |6-8,10-12,18                     |IBG,8-10DG,18DG,20DG,IG                     |D12,D14,D18,XI;
7    |LCJL|SFLA,X3LA    |SF     |6-8,10-12,(18),20-22                     |IBG,8-10DG,18DG,20DG,20-24WG                     |D12,D14,D18,X3;
8    |LCJL|XIVLA,SJLA    |XIV     |14-16,2-4                     |16DG,2-16WG,2DG,IVBG,SJJG                     |D22,D6,D4,SJ;
9    |LCJL|XIVLA,SLA    |XIV     |(14-16),6-8,10-12,2-4                     |16DG,14DG,6-12DG,4DG,IIBG,S3JG                     |D20,D10,D8,D2,S;
10    |LCJL|XIVLA,SFLA    |XIV     |(14-16),6-8,(10-12),6-8                     |16DG,14DG,6-12DG,8-10DG,IBG,X1LQ                     |D20,D12,SF;
11    |LCJL|XIVLA,D20A,SJLA    |XIV     |(14-16),6-8,10-12,(2-4)                     |16DG,14DG,6-12DG,4DG,2DG,IVBG,SJJG                     |D20,D10,D8,D4,SJ;
12    |LCJL|XIILA,SJLA    |XII     |14-16,6-8,10-12,(2-4)                     |14DG,6-12DG,4DG,2DG,IVBG,SJJG                     |D20,D10,D8,D4,SJ;
13    |LCJL|XIILA,SLA    |XII     |14-16,6-8,10-12,2-4                     |14DG,6-12DG,4DG,IIBG,S3JG                     |D20,D10,D8,D2,S;
14    |LCJL|XIILA,SFLA    |XII     |14-16,6-8,(10-12),6-8                     |14DG,6-12DG,8-10DG,IBG,X1LQ                     |D20,D12,SF;
15    |LCJL|XILA,SJLA    |XI     |18,10-12,(6-8),10-12,(2-4)                     |18DG,8-10DG,6-12DG,4DG,2DG,IVBG,20DG,SJJG                     |D18,D14,D10,D8,D4,SJ;
16    |LCJL|XILA,SLA    |XI     |18,10-12,(6-8),10-12,2-4                     |18DG,8-10DG,6-12DG,4DG,IIBG,20DG,S3JG                     |D18,D14,D10,D8,D2,S;
17    |LCJL|XILA,SFLA    |XI     |18,10-12,6-8                     |18DG,8-10DG,IBG,20DG,X1LQ                     |D18,D14,D12,SF;
18    |LCJL|X3LA,SJLA    |X3     |20-22,(18),10-12,(6-8),10-12,(2-4)                     |20DG,18DG,8-10DG,6-12DG,4DG,2DG,IVBG,SJJG                     |D18,D14,D10,D8,D4,SJ;
19    |LCJL|X3LA,SLA    |X3     |20-22,(18),10-12,(6-8),10-12,2-4                     |20DG,18DG,8-10DG,6-12DG,4DG,IIBG,S3JG                     |D18,D14,D10,D8,D2,S;
20    |LCJL|X3LA,SFLA    |X3     |20-22,(18),10-12,6-8                     |20DG,18DG,8-10DG,IBG,X1LQ                     |D18,D14,D12,SF;
21    |LCJL|SIVLA,XJLA    |SIV     |15-17,(19),1-3                     |17-19DG,1-19WG,1DG,IVAG,XJJG                     |D15,D7,D5,XJ;
22    |LCJL|SIVLA,XFLA    |SIV     |(15-17),9-11,5-7,1-3                     |17-19DG,15DG,9DG,7DG,3DG,IIAG,S1LQ                     |D13,D11,D3,XF;
23    |LCJL|SIVLA,XLA    |SIV     |(15-17),9-11,(5-7)                     |17-19DG,15DG,9DG,7DG,5DG,IAG,X3JG                     |D13,D11,D1,X;
24    |LCJL|SIVLA,D13A,XJLA    |SIV     |(15-17),9-11,5-7,(1-3)                     |17-19DG,15DG,9DG,7DG,3DG,1DG,IVAG,XJJG                     |D13,D11,D5,XJ;
25    |LCJL|SIVLA,YXZDLA    |SIV     |15-17,19                     |17-19DG                     |YXZD;
26    |LCJL|SIILA,XJLA    |SII     |15-17,9-11,5-7,(1-3)                     |15DG,9DG,7DG,3DG,1DG,IVAG,XJJG                     |D13,D11,D5,XJ;
27    |LCJL|SIILA,XFLA    |SII     |15-17,9-11,5-7,1-3                     |15DG,9DG,7DG,3DG,IIAG,S1LQ                     |D13,D11,D3,XF;
28    |LCJL|SIILA,XLA    |SII     |15-17,9-11,(5-7)                     |15DG,9DG,7DG,5DG,IAG,X3JG                     |D13,D11,D1,X;
29    |LCJL|SILA,XJLA    |SI     |13,(9-11),5-7,(1-3)                     |11-13DG,9DG,7DG,3DG,1DG,IVAG,XJJG                     |D13,D11,D5,XJ;
30    |LCJL|SILA,XFLA    |SI     |13,(9-11),5-7,1-3                     |11-13DG,9DG,7DG,3DG,IIAG,S1LQ                     |D13,D11,D3,XF;
31    |LCJL|SILA,XLA    |SI     |13,9-11,5-7                     |11-13DG,5-11WG,5DG,IAG,X3JG                     |D17,D9,D1,X;
32    |LCJL|SILA,D13A,XLA    |SI     |13,(9-11),(5-7)                     |11-13DG,9DG,7DG,5DG,IAG,X3JG                     |D13,D11,D1,X;
33    |LCJL|S3LA,XJLA    |S3     |(13),(9-11),5-7,(1-3)                     |11-13DG,9DG,7DG,3DG,1DG,IVAG,XJJG                     |D13,D11,D5,XJ;
34    |LCJL|S3LA,XFLA    |S3     |(13),(9-11),5-7,1-3                     |11-13DG,9DG,7DG,3DG,IIAG,S1LQ                     |D13,D11,D3,XF;
35    |LCJL|S3LA,XLA    |S3     |(13),9-11,5-7                     |11-13DG,5-11WG,5DG,IAG,X3JG                     |D17,D9,D1,X;
36    |LCJL|S3LA,D13A,XLA    |S3     |(13),(9-11),(5-7)                     |11-13DG,9DG,7DG,5DG,IAG,X3JG                     |D13,D11,D1,X;
37    |LCJL|XJLA,SIVLA    |XJ     |1-3,(19),15-17                     |IVAG,1DG,1-19WG,17-19DG,IVG                     |D5,D7,D15,SIV;
38    |LCJL|XJLA,SIILA    |XJ     |(1-3),5-7,9-11,15-17                     |IVAG,1DG,3DG,7DG,9DG,15DG,IIG                     |D5,D11,D13,SII;
39    |LCJL|XJLA,SILA    |XJ     |(1-3),5-7,(9-11),13                     |IVAG,1DG,3DG,7DG,9DG,11-13DG,IG                     |D5,D11,D13,SI;
